municipality,year,inc
Odense,2013,353802.0
Svendborg,2013,367470.0
Ærø,2013,266148.0
Billund,2013,403312.0
Esbjerg,2013,380140.0
Fanø,2013,349974.0
Fredericia,2013,397056.0
Haderslev,2013,366806.0
Kolding,2013,372111.0
Sønderborg,2013,365551.0
Tønder,2013,337434.0
Varde,2013,384171.0
Vejen,2013,347954.0
Vejle,2013,396654.0
Aabenraa,2013,351433.0
Favrskov,2013,372872.0
Hedensted,2013,376357.0
Horsens,2013,363206.0
Norddjurs,2013,322792.0
Odder,2013,371222.0
Randers,2013,351651.0
Samsø,2013,345456.0
Silkeborg,2013,378782.0
Skanderborg,2013,385715.0
Syddjurs,2013,337044.0
Aarhus,2013,358509.0
Herning,2013,371951.0
Holstebro,2013,396595.0
Ikast-Brande,2013,334864.0
Lemvig,2013,332625.0
Ringkøbing-Skjern,2013,355891.0
Skive,2013,355000.0
Struer,2013,368030.0
Viborg,2013,385979.0
Brønderslev,2013,347661.0
Frederikshavn,2013,382437.0
Hjørring,2013,377806.0
Jammerbugt,2013,340658.0
Læsø,2013,295245.0
Mariagerfjord,2013,361340.0
Morsø,2013,382027.0
Rebild,2013,384766.0
Thisted,2013,369042.0
Vesthimmerlands,2013,328793.0
Aalborg,2013,337277.0
Copenhagen,2014,325070.0
Frederiksberg,2014,379308.0
Dragør,2014,482857.0
